患者情報__性別,Sex
術前所見__黄斑剥離,Macular off
術前所見_黄斑剥離期間_日,Duration of macular off
術前所見_矯正視力_矯正視力,Best-corrected visual acuity
術前所見_眼圧_眼圧,Intraocular pressure
術前所見__脈絡膜剥離,Choroidal detachment
術前所見_裂孔数_個,Number of retinal breaks
Hypotony_5mmHg,Hypotony (Intraocular pressure < 5 mmHg)
V22a眼軸長(26mm以上),Axial length of 26 mm or greater
術前所見__主病名1_PVDに伴う弁状裂孔による裂孔原性網膜剥離,Type of rhegmatogenous retinal detachment: PVD related
術前所見__主病名1_その他の裂孔原性網膜剥離,Type of rhegmatogenous retinal detachment: Others
術前所見__主病名1_内眼手術後(白内障硝子体)の裂孔原性網膜剥離,Type of rhegmatogenous retinal detachment: Intraocular surgery
術前所見__主病名1_強度近視に伴う黄斑円孔網膜剥離,Type of rhegmatogenous retinal detachment: MHRD with myopia
術前所見__主病名1_萎縮円孔による裂孔原性網膜剥離,Type of rhegmatogenous retinal detachment: Atrophic hole
術前所見_最大裂孔大きさ_度_0-30,Size of a retinal break: 0–30°
術前所見_最大裂孔大きさ_度_30-60,Size of a retinal break: 30–60°
術前所見_PVR_N/B/C_B,Proliferative vitreoretinopathy: grade B
術前所見_PVR_N/B/C_C,Proliferative vitreoretinopathy: grade C
術前所見_PVR_N/B/C_N,Proliferative vitreoretinopathy: grade N/A
術前所見__最大裂孔位置_上耳側,Location of a retinal break: supratemporal
術前所見__最大裂孔位置_上鼻側,Location of a retinal break: supranasal
術前所見__最大裂孔位置_下耳側,Location of a retinal break: infratemporal
術前所見__最大裂孔位置_下鼻側,Location of a retinal break: infranasal
術前所見__最大裂孔位置_後極,Location of a retinal break: posterior pole
術前所見_裂孔形態_種別_円孔,Type of retinal breaks: Atrophic hole
術前所見_裂孔形態_種別_裂孔,Type of retinal breaks: Tear
術前所見_裂孔形態_種別_黄斑円孔,Type of retinal breaks: Macular hole
術前所見_網膜剥離範囲_現象_1,Extent of retinal detachment: 1 quadrant
術前所見_網膜剥離範囲_現象_2,Extent of retinal detachment: 2 quadrants
術前所見_網膜剥離範囲_現象_3,Extent of retinal detachment: 3 quadrants
術前所見_網膜剥離範囲_現象_4,Extent of retinal detachment: 4 quadrants
眼手術歴_網膜剥離を除く網膜硝子体手術,Previous treatment: pars plana vitrectomy
眼手術歴_白内障手術,Previous treatment: Cataract
術前所見__水晶体_有水晶体眼,Lens status: Phakia
術前所見__水晶体_IOL,Lens status: Pseudophakia
初回手術時年齢,Age
